Index,Date,Closing Price
BOVESPA,2020-01-17,"118,730.00"
BOVESPA,2020-01-21,"117,275.00"
BOVESPA,2020-01-22,"118,565.00"
BOVESPA,2020-01-23,"119,810.00"
BOVESPA,2020-01-24,"118,560.00"
BOVESPA,2020-01-27,"114,620.00"
BOVESPA,2020-01-28,"116,780.00"
BOVESPA,2020-01-29,"115,450.00"
BOVESPA,2020-01-30,"115,650.00"
BOVESPA,2020-01-31,"113,930.00"
BOVESPA,2020-02-03,"114,905.00"
BOVESPA,2020-02-04,"115,735.00"
BOVESPA,2020-02-05,"116,275.00"
BOVESPA,2020-02-06,"115,190.00"
BOVESPA,2020-02-07,"113,750.00"
BOVESPA,2020-02-10,"112,895.00"
BOVESPA,2020-02-11,"115,365.00"
BOVESPA,2020-02-12,"117,395.00"
BOVESPA,2020-02-13,"116,305.00"
BOVESPA,2020-02-14,"115,020.00"
BOVESPA,2020-02-18,"115,525.00"
BOVESPA,2020-02-19,"117,130.00"
BOVESPA,2020-02-20,"115,090.00"
BOVESPA,2020-02-21,"114,045.00"
BOVESPA,2020-02-24,"114,045.00"
BOVESPA,2020-02-25,"114,045.00"
BOVESPA,2020-02-26,"106,260.00"
BOVESPA,2020-02-27,"103,450.00"
BOVESPA,2020-02-28,"104,250.00"
BOVESPA,2020-03-02,"107,145.00"
BOVESPA,2020-03-03,"105,610.00"
BOVESPA,2020-03-04,"107,675.00"
BOVESPA,2020-03-05,"102,395.00"
BOVESPA,2020-03-06,"98,375.00"
BOVESPA,2020-03-09,"86,080.00"
BOVESPA,2020-03-10,"92,040.00"
BOVESPA,2020-03-11,"84,850.00"
BOVESPA,2020-03-12,"72,125.00"
BOVESPA,2020-03-13,"82,680.00"
BOVESPA,2020-03-16,"108,000.00"
BOVESPA,2020-03-17,"74,725.00"
BOVESPA,2020-03-18,"66,595.00"
BOVESPA,2020-03-19,"67,465.00"
BOVESPA,2020-03-20,"67,005.00"
BOVESPA,2020-03-23,"63,100.00"
BOVESPA,2020-03-24,"69,900.00"
BOVESPA,2020-03-25,"74,840.00"
BOVESPA,2020-03-26,"77,720.00"
BOVESPA,2020-03-27,"73,050.00"
BOVESPA,2020-03-30,"74,610.00"
BOVESPA,2020-03-31,"72,790.00"
BOVESPA,2020-04-01,"70,895.00"
BOVESPA,2020-04-02,"72,115.00"
BOVESPA,2020-04-03,"69,355.00"
BOVESPA,2020-04-06,"74,105.00"
BOVESPA,2020-04-07,"76,280.00"
BOVESPA,2020-04-08,"78,705.00"
BOVESPA,2020-04-09,"77,895.00"
BOVESPA,2020-04-13,"77,810.00"
BOVESPA,2020-04-14,"79,930.00"
BOVESPA,2020-04-15,"78,300.00"
BOVESPA,2020-04-16,"78,045.00"
BOVESPA,2020-04-17,"79,185.00"
BOVESPA,2020-04-20,"79,135.00"
BOVESPA,2020-04-21,"79,135.00"
BOVESPA,2020-04-22,"80,795.00"
BOVESPA,2020-04-23,"79,775.00"
BOVESPA,2020-04-24,"75,330.00"
BOVESPA,2020-04-27,"78,340.00"
BOVESPA,2020-04-28,"81,475.00"
BOVESPA,2020-04-29,"83,475.00"
BOVESPA,2020-04-30,"80,525.00"
BOVESPA,2020-05-01,"80,525.00"
BOVESPA,2020-05-04,"79,100.00"
BOVESPA,2020-05-05,"79,630.00"
BOVESPA,2020-05-06,"79,220.00"
BOVESPA,2020-05-07,"78,560.00"
BOVESPA,2020-05-08,"80,495.00"
BOVESPA,2020-05-11,"79,025.00"
